Código,Name,Faccao,Complexo,Pouco Expressivo
240,Canal do Anil,Milicia,Gardenia Azul,
241,Canal do Arroio Pavuna,,,
242,Caxangá,,,
243,Comendador Pinto,Milicia,Campinho,
245,Covanca,,,
296,Vila Nossa Senhora da Paz,,,
94,Morro do Cariri,CV,Penha,
246,Espírito Santo,Milicia,Campinho,
247,Estrada do Catonho I,,,
248,Estrada do Meringuava,,,
249,Inácio do Amaral,,,
250,Shangrilá,,,
251,Vila Nova (RA - Barra da Tijuca),,,
252,Loteamento São Sebastião,,,
253,Morro do Piolho,,,
254,Nova Aurora,,,
255,Outeiro (RA - Jacarepaguá),,,
256,Rio das Pedras,Milicia,Rio das Pedras,
257,"Rua Luiz Beltrão, nº 1.127",,,
258,Rua Quiririm,,,
259,Rua São Marciano,,,
260,Travessa Antonina,Milicia,Praca Seca,
261,Vila José de Anchieta,Milicia,Praca Seca,
262,Vila Sapê,Milicia,Curicica,
263,Bairro Nova Aliança,TCP,Vila Alianca,
264,Batam,TCP,Batam,
265,Birigui,,,
266,Boqueirão,,,
267,Caminho do Lúcio,TCP,Vila Alianca,
268,Coréia (RA - Bangu),TCP,Coreia,
269,Cosme e Damião,,,
270,Fazenda Coqueiro,TCP,Coreia,
271,Frederico Faulhaber,,,
272,Jacaré,TCP,Rebu/Cavalo de Aco,
273,Nilo,,,
274,Rua Jabaquara,,,
275,Rua Santo Expedito,,,
276,Tibagi,,,
277,Vila Brasil,,,
278,Vila Catiri,Milicia,Catiri,
279,Vila do Vintém,ADA,Vila do Vintem,
280,Vila Progresso,CV,Vila Kennedy,
281,Vila Santo Antônio (RA - Realengo),,,
282,Jardim São Bento,,,
283,Vila São Miguel,ADA,Curral das Eguas,
284,Vila União da Paz,,,
285,Anes Dias,TCP,Coreia,
286,"Estrada da Caroba, nº 889",,,
287,Morro da Esperança,,,
288,Rio Piraquê,,,
289,"Rua Teixeira Campos, nº 96/102",,,
290,"Rua Teixeira Campos, nº 642",,,
291,Vila Comari,,,
292,Vila do Céu,,,
293,Vila Jurari,,,
294,Vila São Jorge (RA - Campo Grande),,,
295,Vila União (RA - Campo Grande),Milicia,Curicica,
297,"Avenida João XXIII, nº 300",,,
298,Beco da Guarda,,,
299,Coréia (RA - Santa Cruz),,,
300,Divinéia,,,
301,Linha de Austin,,,
302,Margem do Canal do Cação Vermelho,,,
303,Margem do Canal de São Francisco,,,
304,Rua Iconha,,,
305,Três Pontes,,,
306,Vala do Sangue,,,
307,Bairro da Sapucaia,TCP,Praia da Rosa,
308,Bairro Nossa Senhora das Graças,Milicia,Boogie Woogie,
309,Bela Vista da Pichuna,TCP,Pichuna,
310,Colônia de Pescadores Almirante Gomes Pereira,Milicia,Colonia Z14,
311,Conjunto Residencial dos Servidores Municipais,TCP,Querosene,
312,Guarabu,TCP,Dende,
313,Morro das Araras,TCP,Pichuna,
314,Morro do Dendê,TCP,Dende,
315,Morro do Querosene,TCP,Querosene,
316,Parque Proletário dos Bancários,TCP,Bancarios,
317,Parque Royal,TCP,Parque Royal,
318,Tirol,,,
319,Praia da Rosa,TCP,Praia da Rosa,
320,Jardim Duas Praias,TCP,Querosene,
321,Rua Guariúba,TCP,Dende,t
322,"Rua Rodano, Lote 22, Quadra 31",TCP,Dende,t
323,Serra Morena,Milicia,Boogie Woogie,
324,Tremembé,TCP,Pichuna,t
325,Almirante Tamandaré,ADA,Fazenda Botafogo,
326,Avenida,,,
327,Bairro da Pedreira,TCP,Pedreira,
328,Beira Rio - Rua Arnaldo Murineli - (RA - Anchieta),,,
329,Beira Rio - Rua Matura (RA - Pavuna),,,
330,Fazenda Botafogo / Margem da Linha,TCP,Pedreira,
331,Faz Quem Quer (RA - Anchieta),,,
332,Fé em Deus,,,
333,Furão,TCP,Acari,t
334,"Gleba I, da Antiga Fazenda Botafogo",ADA,Fazenda Botafogo,
335,Caminho do Job,CV,Chapadao,
336,Margem da Linha,ADA,Fazenda Botafogo,
337,Morro do Mata Quatro,ADA,Fazenda Botafogo,
